ID,Provider Name,Provider Address,Provider City,Provider State,PostalCode,Phone1_Type,Phone1_Number,Phone2_Type,Phone2_Number,FaxNumber,WebsiteUrl,USEFUL,FINDABLE,USABLE,TOTAL_SCORE,NOTES,Medicare,EmailAddress,ContactName,ContactBusinessTitle,HOUSING,COMMUNITY SUPPORT & HEALTH SERVICES,OUTDOOR SPACES AND BUILDINGS,RESPECT AND SOCIAL INCLUSION,TRANSPORT,CIVIC PARTICIPATION & EMPLOYMENT,COMMUNICATION & INFORMATION,SOCIAL PARTICIPATION,Elderly and Disabled,Assisted Living,Independent Living,Bridge to Independence,Traumatic Brain Injury / Spinal Cord Injury,Intellectual Disability / Developmental Disability,Private Pay: Credit,Private Pay: Cash,Other,Private Insurance,Medicaid,Private Pay: Check
1,A & A Home Health Equipment*,221 South Highway 1 ,Greenville,MS,38703,Main,6623320772,Toll Free Hotline,8007489047,(662) 335-1702,http://www.aahhe.com,7,7,7,21,,0,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
2,A&A Home Health Equipment Incorporated*,1608 Broadway Drive,Hattiesburg,MS,39401,Main,8665430076,Other,6012613936,(877) 880-0649,www.aahhe.com,7,7,7,21,This is the same as item 2,1,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
3,A&A Home Health Equipment Incorporated*,221 Highway 1 South,Greenville,MS,38701,Toll Free Hotline,8007489047,Main,6623320772,(662) 335-1702,www.aahhe.com,7,7,7,21,This is the same as item 2,1,,Zane  Jacobs,Branch Manager,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
4,A&A Home Health Equipment Incorporated*,1403 South Green Street,Tupelo,MS,38804,Main,8008441348,Main,6628448545,662-618-6581,www.aahhe.com,7,7,7,21,This is the same as item 2,1,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
5,AAA Ambulance Service*,100 Rawls Springs Loop Road,Hattiesburg,MS,39402,Main,6012640175,,,,https://aaaambulance.net/,1,6,4,11,"Ambulatory service, but does not seem to be directly available to patients. They can be hired, do teaching demonstrations, and facilitate EMT education. Somone needing an ambulance cannot make use of this.",1,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
6,AAA Senior Solutions*,4685 Leslie Cove,Horn Lake,MS,38637,Main,6623933701,,,,,4,1,2,7,"No website. Googling pulls it up on MapQuest--looks like a house. Claims to be an insurance agency in Horn Lake, MS. ",1,,,,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0
7,Aaron E. Henry Community Health Center-Administrative Office*,510 MS- Highway 322,Clarksdale,MS,38614,Main,6623933701,,,(662) 624-4354,www.aehchc.org,7,7,7,21,"This company seems to do it all--social service, transportation, health (including dental, vision,and behavioral). ",1,rsheriff@aehchc.org,Richard Sheriff,COO,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1
8,Aaron E. Henry Community Health Center-Batesville Clinic*,216 US-Highway 51,Batesville,MS,38606,Main,6625631858,,,(662) 563-0617,www.aehchc.org,7,7,7,21,"This is the same as item 8, just different location",1,,Mary Burnett,Family Nurse Practitioner ,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
9,Aaron E. Henry Community Health Center-Tunica Clinic*,1820 Peabody Avenue,Tunica,MS,38676,Main,6623633656,,,(662) 363-3789,www.aehchc.org,7,7,7,21,"This is the same as item 8, just different location",1,,Toria Shaw,Family Nurse Practitioner ,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
10,Aaron E. Henry Community Health Center- Tunica School Based Clinic*,1100 Rosa Fort Drive.,Tunica,MS,38676,Main,6623633971,,,(662) 363-7651,www.aehchc.org ,7,7,7,21,"This is the same as item 8, just different location",1,,Brittany Harris,Family Nurse Practitioner ,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
11,Aaron E Henry Community Health Center-Clarksdale Clinic*,800 Ohio Street ,Clarksdale,MS,38614,Main,6626242504,,,(662) 627-3629,www.aehchc.org,7,7,7,21,"This is the same as item 8, just different location",1,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
12,AARP Mississippi State Office,141 Township Avenue #302,Ridgeland,MS,39157,Toll Free Hotline,8665545382,Contact Person,6018985417,(601) 898-5429,https://states.aarp.org/mississippi/?migration=rdrct&migration=rdrct,7,7,6,20,"Contains a lot of great, useful information, but at some point I think you are forced to register with an email address, password, name, birth date and zip code. ",0,msaarp@aarp.org,Ronda Gooden ,,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0
13,ABC Orthotics and Prosthetics ,805 Downtowner Loop West,Mobile,AL,36609,Main,2513163160,,,(251) 316-6950,https://www.abcop.org/,2,5,5,12,"This seems specific to accredidation for orthotoc and prosthetic physicians and facilities. You can locate accredited individuals or facilities, but this doesn't seem to really be for patients needing prosthetic or orthotic services. ",1,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
14,Aberdeen Eye Clinic*,114 N. Hickory Street,Aberdeen,MS,39730,Main,6623692444,,,(662) 369-7223,,6,6,7,19,no website--only phone number and address. ,1,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
15,Aberdeen Senior Citizens Center,611 High Street,Aberdeen,MS,39730,Main,6623692782,,,,,7,6,7,20,"no website. Can be accessed through mdhs.ms.gov website. has phone number and address. Provide opportunities for lunches, card playing, exercising, etc. ",0,adamseoc@adamscountyms.gov,,x,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
16,Ability Works*- MS Department of Rehab Services,365 West Reed Road,Greenville,MS,38701,Main,6623355216,,,,www.mdrs.ms.gov/AbilityWorks,5,7,7,19,"employment help, assessment, training, etc. Could be useful for some",1,,Larry Kaplan,Branch Manager,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
17,Ability Works- MS Department of Rehab Services,8480 West Sandridge,Olive Branch,MS,38654,Main,6628954363,,,,www.mdrs.ms.gov/AbilityWorks,5,7,7,19,,0,,,,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
18,Ability Works- MS Department of Rehab Services,51 County Road 166,Oxford,MS,38655,Main,6622340857,,,,www.mdrs.ms.gov/AbilityWorks,5,7,7,19,,0,,,,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0
19,Ability Works- MS Department of Rehab Services,2503 Browning Road,Greenwood,MS,38930,Main,6624537500,,,,www.mdrs.ms.gov/AbilityWorks,5,7,7,19,,0,,,,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0
20,Acadian Ambulance Services,2204 Old Mobile Avenue,Pascagoula,MS,39567,Main,2287620239,,,(228) 762-4360,www.acadian.com,3,6,4,13,Ambulatory service,0,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
21,AccessFamily Health Services*,12725 Highway 23 North,Tremont,MS,38876,Main,6626523361,,,,www.accessfhs.com,7,6,6,19,family medicine ï womenís health ï dental care ï behavioral health ï behavioral telehealth ï sliding fee discount program ï discount pharmacy ï medication assistance ï school based clinics ï veterans healthcare,0,,Carissa Searcy,Nurse Practioner,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,Access Family Health Services *," 499 Gloster Creek Village, Suite D1 ",Tupelo ,MS,38801,Main,6626514637,Main,6626908007,,www.accessfhs.com,7,6,6,19,family medicine ï womenís health ï dental care ï behavioral health ï behavioral telehealth ï sliding fee discount program ï discount pharmacy ï medication assistance ï school based clinics ï veterans healthcare,1,,,,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1
23,Access Family Health Services*,106 Walker Street,Houlka,MS,38850,Main,6625683316,,,,www.accessfhs.com,7,6,6,19,family medicine ï womenís health ï dental care ï behavioral health ï behavioral telehealth ï sliding fee discount program ï discount pharmacy ï medication assistance ï school based clinics ï veterans healthcare,0,,Dorthia Walters,Certified Nurse Practioner,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,Accredo Health Group Incorporated,201 Great Circle Road,Nashville,TN,37228,Main,8008006606,,,,,1,1,1,3,,0,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1
25,Acme Medical Supply LLC,1804 25th Avenue,Gulfport,MS,39501,Main,2282063639,,,,,6,6,6,18,,0,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1
26,Active Life,3407 Shamrock Court,Gautier,MS,39553,Main,2284970690,,,(228) 497-0794,,4,6,6,16,no website. called number: they provide behavioral health/mental health services and drug addiction services for all ages (minors can get services at a different location). ,1,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
27,"Acusphere, Incorporated ",2 Canal Pass,Cambridge,MA,2141,Main,6176488808,Other,9788639993,,,1,1,1,3,,0,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
28,Advanced Diabetic Solutions,937 Arbor Station Drive,Long Beach,MS,39560,Main,2282062460,Contact Person,8502917251,,www.advanceddiabeticsolutions.net,6,7,6,19,,0,adamseoc@adamscountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
29,Advanced Medical Services ,830 South Mason Road B1,Katy,TX,77450,Main,2813925400,,,(281) 392-5755,,1,1,1,3,,1,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
30,Advanced Medical Systems,12257-A Ashley Drive ,Gulfport,MS,39503,Main,2288310430,Toll Free Hotline,8009983077,,,3,3,3,9,,0,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
31,Advanced Orthotic and Prosthetic,434 South 13th Avenue,Laurel,MS,39440,Main,6016718505,,,,,1,1,1,3,business temporarily closed,1,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
32,Advanced Prosthetic and Orthotic,584 North Germantown Parkway ,Cordova,TN,38018,Main,6628460059,,,(901) 795-1738,,1,1,1,3,,1,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
33,Advanced Rehabilitation*,702 Highway US- 82 West  ,Greenwood,MS,38967,Main,6624555010,Other,6624555468,(662) 455-5468,https://www.facebook.com/AdvancedRehabGreenwood/,6,6,7,19,physical therapy ,0,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
34,Advantage Medical*,6375 Highway 98,Hattiesburg,MS,39402,Main,6012681422,,,(601) 602-8231,,1,1,1,3,number not in service--i think they're no longer in business,1,courtney@advantagepharmacyrx.com,Courtney Davis,Respiratory Therapist/Assistant Manager,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
35,Advantage Nursing Services,2304 19th Street #101,Gulfport,MS,39501,Main,6012681422,,,,www.advantagenursing.com ,1,1,1,3,This company helps RNs find job placement,0,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
36,Aerocare Home Medical Incorporated*,6102 Highway 98 West,Hattiesburg,MS,39402,Main,6012966811,,,(601) 296-9112,www.aerocareusa.com ,7,7,7,21,,1,harris.bambi@aerocareusa.com,Bambi Harris,CSR,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1
37,A First Name Basis ,"1675 Lakeland Drive, Suite 203",Jackson,MS,39216,Main,6012966811,,,(601) 345-8571,www.AFirstNameBasis.com ,7,7,7,21,,0,lashundra@afirstnamebasis.com,LaShaundra Anderson,Mississippi Area Manager,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1
38,A First Name Basis,"333 North Main Street, Suite D",Yazoo City,MS,39194,Main,6628400062,Toll Free Hotline,8775575525,(225) 810-4559,https://afirstnamebasis.com/ ,7,7,7,21,,0,,,,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1
39,"Agape Adult Day Services & Recreational Center, LLC",141 Sunset Loop,Grenada,MS,38901,Main,6623072584,Main,6628095683,,,1,1,1,3,temporarily closed,0,,Elizabeth Woods,Owner,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
40,"Agape Senior Living, Inc",218 South Thomas Street,Tupelo,MS,38801,Main,6623224636,Toll Free Hotline,8004112427,(662) 840-3311,www.agapesl.com ,7,7,7,21,,0,info@agapesl.com,Kenneth Long,President,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
41,Airpark Family Medical Clinic*,1056 Holland Avenue,Philadelphia,MS,39350,Main,6016568545,,,(601) 656-3985,https://www.andersonregional.org/locations/anderson-family-medical-center-airpark/,6,6,6,18,,1,ksmclelland@andersonregional.org,Kevin McClelland,Office Manager,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
42,Alcohol and Drug Treatment Center-24 hour hotline *,Call for Information,Meridian,MS,39301,Main,6014824492,,,,,4,4,4,12,,0,,,,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1
43,Alcoholics Anonymous,3753 19th Street,Meridian,MS,39301,Main,6014822498,,,,,4,4,4,12,,0,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
44,Alcorn County Human Resources Agency*,1300 Washington Street,Corinth,MS,38835,Main,6622867749,,,,,7,6,7,20,"Alcorn Human Resource Agency provides meals, transportation, daycare, homemaker and other services to those who are over 60 living in Alcorn county Mississippi",0,adamseoc@adamscountyms.gov,,,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0
45,Aldersgate Retirement Community*,6600 Poplar Springs Drive,Meridian,MS,39305,Main,6014859484,Other,6014825561,(601) 482-5567,www.mss.org/aldersgate/ ,7,7,7,21,,0,,,,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1
46,Alert FM-Global Security Systems,308 East Pearl Street,Jackson,MS,39201,Main,6017094240,Toll Free Hotline,8668695180,,www.alertfm.com,5,7,7,19,,0,adamseoc@adamscountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
47,Alexander Milne Home for Women,616 East 19th Street,Laurel,MS,39440,Main,6013990700,,,(601) 399-0603,www.milnegh.com,4,4,4,12,web link doesn't work,0,info@milnehome.com,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
48,Alexanders Home Health*, 767-811 Mississippi 32,Houlka,MS,38850,Main,6624562597,,,,www.mississippidirectory.co/.../houston/.../alexander-s-home-health,,,,0,web link doesn't work. call attempt 1-no answer. ,0,,,,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
49,Alexander Waites Elderly Housing,4435 Medgar Evers Boulevard,Jackson,MS,39213,Main,6013645107,,,(601) 362-5750,https://affordablehousingonline.com/housing-search/Mississippi/Jackson/Alexander-Waites-Elderly-Housing/10014717,6,6,5,17,,0,,,,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
